Name,Address,Phone,Distance (miles),Rating,Reviews,Place ID
"Kendall Drive Animal Hospital","13882 Southwest 88th Street, Miami","(305) 388-8881",3.03 miles,4.7,706,ChIJPViyklHA2YgREWWtW3YOlRU
"PetSmart Veterinary Services - Kendall Lakes","14025 Southwest 88th Street, Miami","(786) 785-4735",3.06 miles,4.6,17,ChIJhTLgqLnB2YgRcZCGNMSUOus
"Alejo Vet Clinic","11266 Southwest 137th Avenue, Miami","(305) 501-4125",3.13 miles,4.9,115,ChIJn4POlHJ4K00RyxCrNqaof8g
"Petfolk Veterinary & Urgent Care - Pinecrest","11423 South Dixie Highway Suite 290, Miami","(786) 655-4582",3.22 miles,5,15,ChIJLexfYLnH2YgRXh7olGhc29I
"South Miami Vets and Pets","12035 South Dixie Highway # 200, Pinecrest","(305) 255-7838",3.24 miles,4.9,131,ChIJzZ9YLffG2YgRj9Gz8fPtHYA
"Langdon Cynthia DVM","12125 South Dixie Highway, Miami","(305) 278-1300",3.25 miles,4.3,6,ChIJhYWIyvPG2YgRrgorwYwx_A8
"Veterinary Emergency Group","11921 South Dixie Highway, Pinecrest","(305) 615-1665",3.26 miles,4.9,76,ChIJgw92Av7H2YgRgHk7xobK0Kc
"Karpinski Lorraine G DVM","12125 South Dixie Highway, Pinecrest","(305) 278-1300",3.26 miles,5,26,ChIJhYWIyvPG2YgR7b4jAnLGM3g
"Dugan James DVM","12125 South Dixie Highway, Miami","(305) 278-1300",3.26 miles,5,16,ChIJhYWIyvPG2YgR7UlN4hK8e78
"VETERINARY OPHTHALMOLOGY SERVICE","12125 South Dixie Highway, Pinecrest","(305) 278-1300",3.27 miles,5,2,ChIJF7d50fDG2YgR8rSITjn_DTs
"Animal Dermatology Service/ Veterinary Dermatologist Miami","12125 South Dixie Highway, Pinecrest","(305) 278-1300",3.27 miles,4,1,ChIJF7d50fDG2YgRRmIZ2-BaRxU
"The Veterinary Internal Medicine Group","12968 Southwest 132nd Avenue, Miami","N/A",3.27 miles,5,1,ChIJhw8-GA3X3ogRu7g-W6oUCQU
"Pinecrest Veterinary Hospital","12125 South Dixie Highway, Pinecrest","(305) 278-1300",3.27 miles,4.9,626,ChIJ19461_DG2YgRp_W0NzamArM
"Royal Vet - Animal Hospital in Pinecrest","12303 South Dixie Highway, Pinecrest","(305) 590-5008",3.28 miles,5,233,ChIJe_OXiHzH2YgRBACK50jSHyo
"Briarwood Animal Hospital","10427 South Dixie Highway, Miami","(305) 665-9400",3.28 miles,4.5,97,ChIJNQByvqrH2YgRf3Po6qHZuEc
"Banfield Pet Hospital","12215 South Dixie Highway, Pinecrest","(305) 969-0947",3.29 miles,4.2,197,ChIJ68uALfHG2YgRtGOhmKh04H0
"My Pet Hospital - Veterinarian & Emergency Pet Care","8279 Southwest 124th Street, Miami","(305) 907-3117",3.30 miles,4.4,269,ChIJT6WRknHH2YgRqDzrs8xJdhQ
"Miami Vet Group","12521 South Dixie Highway, Pinecrest","(786) 713-0863",3.33 miles,5,149,ChIJyUEffl_H2YgRoOSiy1ZeXLg
"Pet Care Now","12683 South Dixie Highway, Miami","(305) 251-2096",3.38 miles,4.4,240,ChIJsQP_PY3G2YgR9udKe1EL11s
"Calusa Crossing Animal Hospital","12801 Southwest 134th Court, Miami","(305) 234-1044",3.40 miles,4.8,487,ChIJQS5oAKTB2YgR9DmgpasMrPQ
"Woodby John DVM","12801 Southwest 134th Court, Miami","(305) 234-1044",3.42 miles,5,3,ChIJUzS_wJ3B2YgR0SCy2KzcmUw
"Alvarez Pet Clinic","13710 Southwest 56th Street ste E, Miami","(305) 939-4939",3.43 miles,5,1,ChIJlW3l_mXB2YgR4U7qhDp3FjI
"Galloway Animal Center","13345 Southwest 87th Avenue, Miami","(305) 900-7614",3.44 miles,5,1,ChIJR7jTlB_H2YgRX_pdEgWe1XU
"Dadeland Animal Hospital","9495 Old Dixie Highway, Miami","(305) 671-3647",3.48 miles,4.8,401,ChIJ_5OXJO3G2YgRLjO-Q2eQ2YI
"Westwood Veterinary Clinic","3960 Southwest 109th Avenue, Miami","(305) 553-0033",3.52 miles,4.5,319,ChIJvW_J9lG_2YgR3DsWCl21GB0
"Veterinario Sccoby (Paco)","3960 Southwest 109th Avenue, Miami","N/A",3.52 miles,5,4,ChIJO5Y38FG_2YgR3gA9UUdfXpQ
"Pet Clinic","United States","N/A",3.60 miles,5,1,ChIJHVRHO1u_2YgRu6vg7p03R5o
"WESTBIRD ANIMAL HOSPITAL","11439 Southwest 40th Street, Miami","(305) 221-3105",3.60 miles,4.6,169,ChIJ-zrZBFu_2YgRg1oR-PjRTQg
"West Kendall Animal Hospital","14732 North Kendall Drive, Miami","(305) 385-0404",3.67 miles,4.7,608,ChIJO0eDKErA2YgRhx7Blcl3IoI
"ShotVet @ PetSmart","13621 South Dixie Highway, Miami","(407) 792-0384",3.70 miles,N/A,0,ChIJB1q31NjH2YgRp_bjWuIZpnI
"St. Francis Veterinary Clinic","14627 Southwest 104th Street, Miami","(305) 386-9909",3.72 miles,4.5,94,ChIJgTdMS7bB2YgRWfpBPvclnh4
"Pet Life Veterinary Clinic","9837 Southwest 40th Street, Miami","(305) 607-2667",3.75 miles,5,14,ChIJtZiRrM-52YgRmDv_77v3Ayo
"Avian & Exotic Animal Medical Center","7230 North Kendall Drive, Miami","(305) 234-2473",3.75 miles,3.9,105,ChIJF7d50fDG2YgR7Y7Pa5nbnsY
"Don J Harris DVM","7230 North Kendall Drive, Miami","(305) 234-2473",3.75 miles,4,13,ChIJF7d50fDG2YgRG6KaEBXH9-Q
"Gomara Animal Clinic","9528 Southwest 40th Street, Miami","(305) 552-0860",3.76 miles,4.5,395,ChIJD9PKVbu42YgR_4FlpPiQPbU
"Mordaunt Michael P DVM","13475 Southwest 136th Street, Miami","(305) 238-2222",3.76 miles,4.9,11,ChIJE-VYwoLB2YgR5w3DwrDUwok
"Town and Country Animal Hospital","13475 Southwest 136th Street, Miami","(305) 238-2222",3.76 miles,4.8,1386,ChIJNSxp6ILB2YgR6BLhhzXCKgQ
"VCA South Dade Animal Hospital","7230 North Kendall Drive, Kendall","(305) 661-2573",3.77 miles,4.5,282,ChIJ2ei_dOvH2YgRF5HLCnWg7hc
"Vet Wellcare Vaccinations Clinic at Pet Supermarket","12155 Southwest 152nd Street, Miami","(786) 293-2895",3.79 miles,5,3,ChIJ-z49tt_D2YgR3zJ34-W6Pjs
"Bird Road Veterinary Clinic","12813 Southwest 42nd Street, Miami","(305) 200-9932",3.82 miles,4.7,100,ChIJ6T_kfXy_2YgRPgqz-9rXJKg
"Southeast Veterinary Imaging","9300 Southwest 40th Street, Miami","(305) 274-2777",3.84 miles,4,4,ChIJ74kJVvm52YgRi0-oBTFvlUU
"Southeast Veterinary Neurology","9300 Southwest 40th Street, Miami","(305) 274-2777",3.85 miles,4.4,365,ChIJ1zYNGd3A2YgRATIA1adF3C0
"Dixie Animal Hospital","14701 South Dixie Highway, Palmetto Bay","(305) 238-5161",3.97 miles,4.6,285,ChIJw5yFX5nG2YgRC4zSOF9Lp-I
"San Francisco Animal Clinic","3003 Southwest 107th Avenue, Miami","(305) 553-0222",4.09 miles,4.6,118,ChIJuYCUbku_2YgRpnYBWKuh39c
"Clinica Veterinaria","3003 Southwest 107th Avenue, Miami","N/A",4.10 miles,4.6,5,ChIJMf_pE0u_2YgRLKm9MEkd1aw
"Banfield Pet Hospital","8302 South Dixie Highway, Miami","(305) 669-4982",4.17 miles,3.8,161,ChIJczndgZXH2YgRsGjlmFqroio
"Bethel Pet Hospital","15072 Southwest 72nd Street, Miami","(786) 369-5513",4.19 miles,5,80,ChIJvRmt36fB2YgRC7QMKAG3RRE
"The Falls Animal Clinic","15301 South Dixie Highway, Palmetto Bay","(786) 592-1483",4.20 miles,4.8,93,ChIJs4h0SffH2YgRGpy_Y_5wbEg
"Animal Eye Guys - Miami Bird Road","8356 Southwest 40th Street Suite J, Miami","(305) 900-8488",4.27 miles,4.8,163,ChIJfWu97Y-42YgRodvuqK5B3ZA
"Premier Veterinary Specialties - South Miami","8356 Southwest 40th Street Suite J, Miami","(305) 318-0422",4.28 miles,N/A,0,ChIJQWu97Y-42YgRcKzd8RmHU0s
"Pet Cancer Group","8356 Southwest 40th Street, Miami","(844) 738-2436",4.28 miles,4.4,79,ChIJfWu97Y-42YgR4Qvn_09bp5A
"Paws and Claws Medical Center","3858 Southwest 137th Avenue, Miami","(786) 361-9344",4.39 miles,4.6,538,ChIJ9QbO2IW_2YgRFUpmzMFWloo
"Ramon de Armas, DVM, GPCert(Exotic Animal Practice)","3858 Southwest 137th Avenue, Miami","(786) 361-9344",4.39 miles,4.4,35,ChIJxZNG2FK_2YgRBjKAO-hAUN4
"Ludlam Dixie Animal Clinic","8271 South Dixie Highway, Miami","(305) 662-4202",4.45 miles,4.8,41,ChIJBXhqJb7H2YgRlUBit7eN_6o
"Hammocks Veterinary Hospital","10201 Hammocks Boulevard #103, Miami","(786) 708-0509",4.51 miles,4.7,208,ChIJ-dWuZs7B2YgRItuW3C2C2X8
"South Kendall Animal Hospital","9501 Southwest 160th Street, Miami","(305) 238-2030",4.57 miles,4.7,304,ChIJr1iIJhnE2YgRo9hYqqJdGe0
"Weir Theresa A DVM","9501 Southwest 160th Street, Miami","(305) 238-2030",4.57 miles,4.1,8,ChIJr1iIJhnE2YgRD63pgd3kTZo
"MIAMI WELFARE ANIMAL CLINIC","7931 Bird Road UNIT 28-30, Miami","(786) 616-8989",4.63 miles,4.6,181,ChIJTyXTHIm42YgRiGC8mlN04YI
"Americas Animal Clinic","11865 Southwest 26th Street, Miami","(305) 559-4905",4.64 miles,4.8,92,ChIJN4BuSRW_2YgRB7auJwz7CmE
"Miller West Animal Hospital","15094 Southwest 56th Street, Miami","(305) 383-0421",4.65 miles,4.8,113,ChIJlReJHhLA2YgRrVGof9d4GoY
"Veterinary Clinic Of Coral Way","9624 Southwest 24th Street, Miami","(786) 631-4983",4.69 miles,4.8,75,ChIJfUNOxa252YgRi9ekbjzaEkQ
"Country Walk Animal Hospital","13773 Southwest 152nd Street, Miami","(305) 238-4386",4.73 miles,4.8,226,ChIJUbE0zSDC2YgRTBgcug9Xh34
"Miami Veterinary Dermatology","6448 South Dixie Highway Unit E, South Miami","(305) 740-3376",4.75 miles,4.5,108,ChIJteQJukC42YgRo1JuHg5DgCI
"Miami Ragdolls","15320 Southwest 58th Street, Miami","(786) 879-4293",4.77 miles,4.8,71,ChIJY-9H-tzB2YgRwtTi4PNcWJY
"Thrive Pet Healthcare Specialists Miami","6394 South Dixie Highway, Miami","(305) 666-4142",4.79 miles,3.8,466,ChIJHwLFEevH2YgRUVNV1pofTN0
"None","6394 South Dixie Highway, South Miami","(305) 666-4142",4.79 miles,2,7,ChIJHwLFEevH2YgRfObsqHrSoas
"Animal Cancer Care Clinic","6394 South Dixie Highway, Miami","(954) 527-3111",4.79 miles,4.1,24,ChIJK9AU997H2YgR6ffQX4q73_g
"The Pet Emergency Room","6394 South Dixie Highway, South Miami","(305) 666-4142",4.79 miles,3.5,362,ChIJHwLFEevH2YgRgcIsgA5AH7g
"Miami Veterinary Internists","6394 South Dixie Highway, South Miami","(305) 666-4142",4.79 miles,3.4,5,ChIJr3lGEuvH2YgR0BQ88BjsOQk
"Pet 911 Clinics","6380 South Dixie Highway, Miami","(855) 573-8911",4.82 miles,N/A,0,ChIJTyhGDm7H2YgRD6MDjRn140I
"Randy Dominguez DVM (Practice Limited to Surgery and Endoscopy)","2730 Southwest 87th Avenue, Miami","(305) 221-1224",4.88 miles,4.9,66,ChIJCWOIwPy42YgRCxRN94ly1bo
"Westchester Animal Hospital/ Randy Dominguez DVM.","2730 Southwest 87th Avenue, Miami","(305) 221-1224",4.88 miles,4.8,132,ChIJzT4P6Oy42YgRp5l29NnO8CU
"Dream Lake Animal Hospital","14525 Southwest 42nd Street, Miami","(305) 225-3116",4.88 miles,4.2,96,ChIJE02ZUoq_2YgR-OObDgh0kMg
"Veterinaria","14525 Southwest 42nd Street, Miami","(305) 225-3116",4.88 miles,N/A,0,ChIJ_dYI_4q_2YgRqe_Z0fxOLr4
"IQGenetics LLC","Davmor Center, 4300 Southwest 73rd Avenue Ste 107, Miami","(786) 418-1245",4.91 miles,4.8,232,ChIJtak2VmW52YgRmTe3L0UsHJg
"Pet Zone Animal Clinic","14900 Southwest 136th Street #110, Miami","(305) 964-5062",4.91 miles,4.8,182,ChIJpzLoa0nB2YgR-R9SZpaHXOs
"Yordanka","11751 Southwest 18th Street apto 5, Miami","(786) 972-4398",4.95 miles,N/A,0,ChIJcdvHT-i_2YgRUpHezATB7P0
"Cute Puppies","14707 Southwest 42nd Street #404, Miami","(786) 246-9892",5.02 miles,5,1,ChIJRbR8r6K_2YgRPzXdvNKSdoY
"Isa Animal Clinic","2724 Southwest 137th Avenue, Miami","(305) 646-1590",5.02 miles,4.9,266,ChIJoS40OoO_2YgR2r8qj6LGyyQ
"Good Care Animal Clinic","1559 Southwest 107th Avenue Suite B, Miami","(305) 220-0102",5.03 miles,4.7,184,ChIJCarWVKW42YgRzM54L6AW1D8
"Vetco Vaccination Clinic","6200 South Dixie Highway, South Miami","(305) 665-7335",5.03 miles,5,2,ChIJoQhFAuzH2YgRgi5mtSZGZS4
"GISL Pet Center (Bird Road An Clinic)","14711 Southwest 42nd Street #201, Miami","(786) 391-3813",5.04 miles,4,43,ChIJAblqJsa_2YgRg6Kok_5yT0s
"Coral West Animal Clinic","13611 Southwest 26th Street, Miami","(305) 223-3396",5.07 miles,4.7,136,ChIJBUrOvZ6_2YgRiUkIFmiyAWo
"Animal Health & Rehab Center (AUSTIN DANIELS ANIMAL HOSPITAL)","7535 Southwest 62nd Avenue, South Miami","(305) 665-3526",5.08 miles,4.9,90,ChIJI88Mou7H2YgRMWaQVo-2VhY
"Galloway Animal Hospital","7535 Southwest 62nd Avenue, Miami","(305) 235-8541",5.08 miles,4.6,81,ChIJM5SjXZLG2YgRA3J9ZqaKZQ4
"Country Club Animal Hospital","4115 Southwest 72nd Avenue, Miami","(305) 663-3300",5.15 miles,4.3,213,ChIJ-YtxcGW42YgRHIdPNlrTiUs
"James B. Bogdansky, DVM","4115 Southwest 72nd Avenue, Miami","(305) 663-3300",5.15 miles,5,2,ChIJ-YtxcGW42YgRHg8tdiXD9XQ
"Luis E Augsten DVM","4115 Southwest 72nd Avenue, Miami","(305) 663-3300",5.15 miles,5,4,ChIJ-YtxcGW42YgRE3AAW1Q74yo
"South Miami Animal Clinic","6100 South Dixie Highway, South Miami","(305) 667-7238",5.17 miles,4.7,216,ChIJY6E79e7H2YgRAzd7Tyg1ZFM
"Marco Drugs & Compounding","6420 Southwest 62nd Avenue, South Miami","(305) 665-4411",5.24 miles,4.5,79,ChIJnUgSb5XH2YgRtM7MUZoOA1c
"Kendall Pointe Animal Hospital (Emergency 24/7)","9075 Southwest 162nd Avenue suite 114, Miami","(305) 990-0900",5.25 miles,4.1,480,ChIJfSCyCWbr2YgR9NTNNWMV6aM
"Animal Medical Center & Spa","15703 Southwest 56th Street, Miami","(305) 222-7387",5.25 miles,4.3,231,ChIJU1a1YhvA2YgRxQJTJO2W2t8
"Dollys Animal Clinic Miami, FL","2713 Southwest 142nd Avenue, Miami","(786) 788-6266",5.26 miles,4.9,321,ChIJcTaq35C_2YgR-bCk_9AaDUg
"Your Family Veterinarian","16355 Southwest 88th Street, Miami","(786) 885-1590",5.34 miles,5,59,ChIJG80jkFTr2YgRtH8oqI-Kxwk
"My Pet Hospital - Veterinarian & Emergency Pet Care","6728 Bird Road, Miami","(305) 252-6168",5.45 miles,4.2,102,ChIJDbMpQ_y52YgRjgzuHE1XQbY
"PetSmart Veterinary Services - West Kendall","16514 Southwest 88th Street, Miami","(786) 761-7523",5.49 miles,3.7,3,ChIJoaH5vFXr2YgRXU5QnVv0_0g
"Pet Lovers Animal Clinic @SW 8th St","11930 Southwest 8th Street, Miami","(305) 554-6999",5.50 miles,4.5,1189,ChIJFRFOlxm_2YgRl57HoxLSqGw
"Banfield Pet Hospital","2601 Southwest 147th Avenue, Miami","(305) 220-0507",5.56 miles,4.2,199,ChIJBcmIOZO_2YgR-jRaySPP02k
"BEST CARE ANIMAL CLINIC","9804 Southwest 8th Street, Miami","(786) 536-5144",5.56 miles,4.5,85,ChIJYUvyvU-52YgRorypA3G8ao0
"Tamiami Animal Hospital - John M Santamarina DVM","12620 Southwest 8th Street Ste 305, Miami","(305) 228-0231",5.68 miles,5,3,ChIJw2Oztru_2YgRIgDC-y2IQ6w
"Tamiami Animal Hospital","12620 Southwest 8th Street, Miami","(305) 228-0231",5.68 miles,4.4,72,ChIJlcXTOAW_2YgRe-WZXMiOC_k
"Southwest Animal Hospital","6448 Bird Road, Miami","(305) 661-7765",5.70 miles,4.9,146,ChIJpZHDw2y42YgRVEkrOGJbYio
"Banfield Pet Hospital","16784 Southwest 88th Street, Miami","(305) 382-9953",5.74 miles,4.2,240,ChIJ2yxfO1bA2YgRgtCAq1kvyUc
"Veterinarian","United States","N/A",5.74 miles,N/A,0,ChIJe2DhT1m42YgRCk1C6jS-fPE
"West Miami Animal Hospital","7443 Coral Way, Miami","(305) 266-1825",5.75 miles,4.2,351,ChIJ-wzsUVm42YgRIvEUG8MDEgA
"Super Vets Animal Hospital","2155 Southwest 75th Avenue, Miami","N/A",5.84 miles,N/A,0,ChIJ5WUEy8a52YgRioPpYoKUaeE
"Eureka Animal Clinic","11326 Southwest 184th Street, Miami","(786) 933-8697",5.87 miles,4.7,288,ChIJy8EFQI7D2YgR1Ut2Hdr13S0
"Alonso Jose V DVM","11326 Southwest 184th Street, Miami","(305) 253-6754",5.87 miles,3,2,ChIJy8EFQI7D2YgR6nKRfVXX5c0
"Caballero Animal Clinic","10760 West Flagler Street #9, Miami","(305) 553-1695",5.87 miles,4.3,156,ChIJwbyeDSq_2YgRK6PImdFshwU
"Tamiami Trail Animal Clinic","8750 Southwest 8th Street, Miami","(305) 559-2444",5.90 miles,4.8,165,ChIJSTF-7-O42YgRR7CBprj7DHY
"Quail Roost Animal Hospital","10575 Southwest 186th Street, Cutler Bay","(305) 235-4991",5.94 miles,4.8,237,ChIJMcAYWHbE2YgRqbqdxNiTkcE
"Bravo Animal Clinic","10901 Southwest 186th Street, Cutler Bay","(305) 234-9422",5.94 miles,4.5,520,ChIJ3_3TA4nD2YgRuY5MbhmvwBM
"Carballo Animal Clinic","8468 Southwest 8th Street, Miami","(305) 552-9121",5.96 miles,4.9,262,ChIJP1fIR-O42YgRm45VOqz2ftM
"Vetco Total Care Animal Hospital","18579 South Dixie Highway, Miami","N/A",6.01 miles,5,1,ChIJQ6-lFePF2YgRHRagGc8aSRs
"Palmetto Bay Animal Hospital - Vetco Total Care","18579 South Dixie Highway, Cutler Bay","(786) 977-6131",6.01 miles,4.9,280,ChIJY1btPoTF2YgRnu8vE-R20So
"Vetco Vaccination Clinic","18579 South Dixie Highway, Miami","(305) 252-4065",6.01 miles,N/A,0,ChIJMYMh603F2YgRymdxG5Yk5ls
"Petco Vaccination Clinic","18579 South Dixie Highway, Miami","(305) 252-4065",6.01 miles,4.3,11,ChIJq6BaFG7E2YgRESfBgqSe2Ug
"West Flagler Animal Hospital","8376 Southwest 8th Street, Miami","(305) 264-8644",6.04 miles,5,1,ChIJTe-PwPy42YgRcEq-4qVO6rI
"Elite Veterinary Hospital","8376 Southwest 8th Street, Miami","(305) 264-8644",6.04 miles,N/A,0,ChIJc7cict-52YgRowfTLg0mEUU
"Animal Care and Surgical Hospital","8376 Southwest 8th Street, Miami","(305) 264-8644",6.04 miles,4.8,342,ChIJr2iIwPy42YgR9Iii4F_c1ds
"HealthRx Pharmacy","8336 Southwest 8th Street, Miami","(786) 536-2349",6.06 miles,4.6,36,ChIJOXrCPTm52YgRxRmWb9biA9A
"Banfield Pet Hospital","9971 West Flagler Street B-150, Miami","(305) 229-1017",6.11 miles,3.9,212,ChIJLZscyim52YgRPU-mpTB9two
"Aussie Animal Hospital: Mornane Patrick DVM","18675 South Dixie Highway, Cutler Bay","(305) 235-0573",6.12 miles,4.8,30,ChIJ22b6QHDE2YgRJwkuh8uNTIk
"Aussie Animal Hospital","18675 South Dixie Highway, Cutler Bay","(305) 235-7339",6.12 miles,4.6,326,ChIJ22b6QHDE2YgR8iRbur0bkqA
"Harmony Animal Clinic","15785 Southwest 152nd Street, Miami","(786) 732-4794",6.17 miles,4.9,98,ChIJe-uw113D2YgRBuAc-peERC8
"Fontes Animal Clinic","2330 Southwest 67th Avenue, Miami","(305) 364-5327",6.25 miles,4.8,178,ChIJmymCIKS52YgR_RYL8mILVz0
"Animal Clinic of Miami Dade","2134 Ludlam Road, Miami","(305) 262-8888",6.36 miles,4.5,409,ChIJv3n6ZUa42YgRUkd-LVxUOv8
"Red Bird Animal Clinic","5753 Bird Road, Miami","(305) 661-6466",6.37 miles,4.7,180,ChIJ7b_OARq42YgRzD5a5IaV2Fc
"Cutler Bay Animal Clinic","18966 South Dixie Highway, Cutler Bay","(305) 251-4244",6.40 miles,3.8,335,ChIJFRA4NHrE2YgRa2M9G0VV2BQ
"Vet Wellcare Vaccinations Clinic at Pet Supermarket","18970 South Dixie Highway, Miami","(305) 251-8442",6.41 miles,4.6,5,ChIJbUDgM3rE2YgRK2dE9NWak1c
"Ferreira Animal Hospital","14504 Southwest 8th Street, Miami","(786) 275-4629",6.51 miles,4.1,124,ChIJ1XYBMbi_2YgRsyGAMmFuJKM
"Miami Animal Clinic","7337 Southwest 8th Street, Miami","(786) 542-6070",6.65 miles,4.8,941,ChIJX8QWbVO42YgRTov2Rw4228M
"Veterinarian Small Animal","7250 Southwest 8th Street, Miami","(305) 264-1335",6.67 miles,4.1,84,ChIJKbll_VK42YgRvLaM2YzR6Hg
"Lidia's Pet Grooming","7189 Southwest 8th Street, Miami","(786) 388-8450",6.73 miles,4.6,183,ChIJpfmYklK42YgR0IUQ4kerghU
"Banfield Pet Hospital","8241 West Flagler Street Suite 101, Miami","(305) 267-4514",6.73 miles,3.6,174,ChIJpQZpqAO52YgR-SIBEIODvI0
"Veterinario de tom","8245 West Flagler Street, Miami","N/A",6.73 miles,1,1,ChIJ24AyvN-52YgRAoBF-IAGAPc
"Trail Animal Hospital","6464 Southwest 8th Street, West Miami","(305) 261-0793",7.12 miles,4.8,221,ChIJY2JkkUa42YgR_ZQuJ1QyGxc
"VCA Cabrera Animal Hospital","6390 Southwest 8th Street, West Miami","(305) 261-2374",7.18 miles,4.6,182,ChIJGRvgokq42YgRjqE1XRXLJEs
"Old Cutler Animal Clinic","20205 Franjo Road, Cutler Bay","(305) 251-6151",7.43 miles,4.2,175,ChIJB3pfg1jE2YgRb5JK4FFMVQM
